	Control.A01	Control.A02	Control.A03	Control.A04	Control.A05	Control.A06	Control.A07	Control.A08	Control.A09	Control.A10	Control.A11	Control.A12	Control.A13	Control.A14	Control.A15	Control.A16	Control.A17	Control.A18	Control.A19	Control.A20	Control.A21	Control.A22	Control.A23	Control.A24	Control.A25	Control.A26	Control.A27	Control.A28	Control.C01	Control.C02	Control.C03	Control.C04	Control.C05	Control.C06	Control.C07	Control.C08	Control.C09	Control.C10	Control.C11	Control.C12	Control.C13	Control.C14	Control.C15	Control.C17	Control.C18	PsO.A01	PsO.A02	PsO.A03	PsO.A04	PsO.A05	PsO.A06	PsO.A07	PsO.A08	PsO.A09	PsO.A10	PsO.A11	PsO.A12	PsO.A13	PsO.A14	PsO.A15	PsO.A16	PsO.A17	PsO.A18	PsO.A19	PsO.A20	PsO.A21	PsO.A22	PsO.A23	PsO.A24	PsO.A25	PsO.A26	PsO.A27	PsO.A28	PsO.C03	PsO.C04	PsO.C05	PsO.C06	PsO.C07	PsO.C08	PsO.C09	PsO.C10	PsO.C11	PsO.C12	PsO.C14	PsO.C15	PsO.C16	PsO.C17	PsO.C18	PsO.C19	PsO.C20	PsO.C21	PsO.C22	PsO.C23	PsO.C24	PsO.C25	PsO.C26	PsO.C27	PsO.C28	PsO.C29	PsO.C30	PsO.C31	PsO.C32	PsO.C33	PsO.C34	PsO.C35	PsO.C36	PsO.C37	PsO.C38	PsO.C39	PsO.C40	PsO.C41	PsO.C42	PsO.C43	PsO.C44	PsO.C45	PsO.C46	PsO.C47	PsO.C48	PsO.C49	PsO.C50	PsO.C51	PsO.C52	PsO.C53	PsO.C54	PsO.C55	PsO.C56	PsO.C57	PsO.C58	PsO.C59	PsO.C60	PsO.C61	PsO.C62	PsO.C63	PsO.C64	PsO.C65	PsO.C66	PsO.C67	PsO.C68	PsO.C69	PsO.C70	PsO.C71	PsO.C72	PsO.C73
"12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65E-05	9.34E-06	0	0	0	0	0	0	9.38E-06	0	0	0	0	6.52E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50E-05	0	0	0	0	0	0	0	0	4.65E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	0.00979799	0.00932628	0.0116296	0.00988936	0.0110694	0.00829959	0.00763588	0.00824263	0.00831824	0.00971721	0.00884388	0.0104511	0.00950588	0.00855918	0.00660525	0.0074501	0.010155	0.00924309	0.010501	0.00699474	0.0134625	0.00786064	0.00894668	0.00812408	0.00868846	0.011532	0.00837275	0.00817391	0.007211	0.00875851	0.00991796	0.00849805	0.00684851	0.0108998	0.00387069	0.00780519	0.00733172	0.0106713	0.00624355	0.0106939	0.00828017	0.0103045	0.00524374	0.00925486	0.00904489	0.0112966	0.00758431	0.0116799	0.0104089	0.00959673	0.0113554	0.00421441	0.00755747	0.0095074	0.00970636	0.00793423	0.0114974	0.0100782	0.0102878	0.00409064	0.00854096	0.00696452	0.00716841	0.00710553	0.00971015	0.00610653	0.00811709	0.0116387	0.00865729	0.00874088	0.0107217	0.0067641	0.00920204	0.00809734	0.0103713	0.010295	0.00809114	0.0071446	0.00799816	0.00655701	0.0102472	0.00846026	0.0102573	0.00983743	0.00742033	0.00931492	0.0125687	0.00659688	0.00684814	0.00590435	0.0101404	0.00852662	0.00926278	0.00892605	0.00626426	0.00667091	0.00861059	0.00855717	0.00574975	0.00857604	0.0102536	0.00948708	0.00816785	0.00733722	0.00939238	0.00744122	0.0100805	0.00810494	0.00783223	0.00945018	0.0091986	0.00813697	0.00866037	0.00920682	0.00600304	0.011096	0.00777082	0.00823995	0.0112603	0.0101254	0.00778649	0.008826	0.00676922	0.00847342	0.00918329	0.0085641	0.0104731	0.00832674	0.00874352	0.0099203	0.0117675	0.00970059	0.00883485	0.00884486	0.00984845	0.00732963	0.00748955	0.0102044	0.00898195	0.00891384	0.00869689	0.00988526	0.00864283
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0.000203511	3.51E-06	0.000121599	1.89E-05	2.29E-05	3.54E-05	0.000127172	0	2.05E-05	3.32E-06	5.74E-06	0	2.58E-05	0.000165722	0.000286392	1.51E-05	0	0	6.96E-06	1.15E-05	0	4.31E-05	1.65E-05	0	2.32E-05	4.76E-06	0.000131243	6.61E-06	0	5.29E-05	1.52E-05	6.92E-05	0.000346607	1.57E-05	9.77E-06	2.40E-05	6.46E-05	0	0.000122216	2.14E-05	3.09E-05	1.11E-05	0.000198789	5.02E-05	6.07E-05	7.05E-06	9.08E-05	1.27E-05	5.51E-05	0	3.38E-05	9.91E-05	4.86E-06	0	1.74E-05	0	0	1.10E-05	5.44E-05	0.00123538	8.36E-06	7.18E-05	0	0.000275115	0	0.000390052	0.000227879	9.18E-06	1.55E-05	6.21E-05	0	8.31E-05	0	0	7.17E-06	0.000109083	2.62E-05	6.98E-06	0.000304633	9.43E-05	8.04E-05	7.41E-06	0	5.25E-05	1.31E-05	0	0	1.88E-05	2.96E-05	0.000197941	3.31E-05	6.68E-06	1.48E-05	2.95E-05	2.85E-05	7.47E-06	0.000234577	5.60E-06	1.94E-05	0	0.000171744	0	8.20E-05	0	0	5.79E-05	5.41E-06	0	2.57E-05	9.55E-05	0	0	0	0	0	1.17E-05	6.57E-05	0	0	8.93E-06	2.41E-06	8.61E-05	7.61E-05	2.98E-06	3.98E-05	0	0	0	0	6.51E-06	0	2.77E-05	4.14E-05	4.04E-05	0	0.000109135	2.69E-05	0	0	0	6.64E-05	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	4.02E-06	0	6.14E-06	1.89E-05	0	0	0	0	0.000318312	7.77E-06	0	0	0	0.000235058	0	0	0	0	0	0	0	9.73E-06	0	0	3.96E-05	0	0	0	0	0	0	0	0	8.85E-06	0	5.45E-05	0	0	0	0	0	0	0	0	7.38E-06	0	4.38E-05	1.33E-05	0	0	4.04E-06	1.48E-05	3.32E-05	0	0	0	0	1.11E-05	0	1.94E-05	4.10E-06	3.18E-05	0	0.000145175	0	0	0	3.46E-05	0	3.30E-05	2.36E-06	2.09E-05	2.30E-05	0	0	0	0	1.82E-05	3.77E-06	0	0	0	0	0	0	0	1.71E-05	2.81E-05	9.25E-06	0	0	0	7.04E-06	0	0	0	0	0	0	0	0.000144782	0	0	0	0	0	0	0	0	1.58E-05	0	0	0	0	0	1.09E-05	0	0	0	0	9.16E-06	0	0	2.30E-05	1.62E-05	0	0	0	0	0	0	0	4.85E-06	0	0	2.59E-05	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0.000117281	4.89E-05	8.91E-05	5.97E-05	5.88E-06	0.000131779	1.23E-05	2.46E-05	3.26E-05	3.14E-05	1.78E-05	1.55E-05	0	8.48E-06	0.000239035	6.75E-05	7.03E-05	2.41E-05	7.54E-05	9.78E-05	4.06E-06	8.19E-05	3.76E-05	6.22E-05	8.10E-05	3.59E-05	6.25E-05	6.54E-05	0.000108738	2.78E-05	0	3.41E-05	1.29E-05	0.000105588	2.99E-05	6.38E-05	4.65E-05	0	8.61E-05	0.000389429	3.43E-05	2.71E-05	1.06E-05	8.84E-05	5.00E-05	6.44E-06	7.44E-05	3.75E-05	2.70E-05	6.48E-05	0.000104132	1.78E-05	0.000216013	2.00E-05	1.45E-05	1.18E-05	0.000115112	6.49E-06	9.53E-05	0.000536092	0.000111451	1.26E-05	7.16E-05	2.76E-05	1.81E-05	7.26E-05	1.91E-05	3.61E-05	0.000141832	0.000110626	1.77E-05	2.47E-05	8.47E-06	7.89E-06	0.000216399	9.92E-05	9.52E-05	3.31E-05	5.63E-05	0	0.000437673	2.83E-05	1.13E-05	0.000110133	1.22E-05	0.000201417	7.84E-05	3.46E-05	5.35E-05	2.96E-05	6.09E-05	7.85E-06	8.53E-06	9.42E-05	1.53E-05	3.37E-05	2.09E-05	0.000122751	3.98E-05	0	1.30E-05	7.07E-05	0.000286103	2.67E-05	5.33E-05	5.88E-05	7.31E-06	4.95E-05	2.12E-05	2.31E-05	8.79E-05	1.77E-06	0	4.27E-05	2.64E-05	2.38E-05	3.33E-05	7.78E-06	1.11E-05	3.19E-05	0.000118011	6.17E-05	1.63E-05	0.000222548	4.44E-05	0.000123735	4.38E-05	0.000228372	3.71E-05	0.000108225	2.51E-05	0.000115674	7.40E-05	3.59E-05	6.54E-05	0	0	2.60E-05	3.89E-05	3.95E-05	0.000176587	4.32E-05	3.96E-05
ANAEROFRUCAT-PWY: homolactic fermentation	0.00475629	0.00347482	0.00345454	0.00247465	0.0030673	0.0043331	0.00345854	0.00214483	0.00339215	0.00337898	0.00362468	0.00408505	0.00210511	0.00381251	0.00346618	0.004492	0.00342925	0.00111657	0.00245426	0.00477294	0.00202847	0.00377931	0.00423954	0.00514742	0.00407024	0.00354481	0.00330673	0.00389222	0.00750182	0.00448261	0.00254053	0.00331338	0.00402407	0.00243195	0.00387207	0.00377432	0.00341017	0.00201705	0.00306535	0.00234031	0.00253373	0.00285994	0.00415138	0.00331868	0.00256468	0.00205387	0.00445581	0.00323113	0.00285003	0.00485446	0.002449	0.00200534	0.00417458	0.00420864	0.00357118	0.00227194	0.00289823	0.00360562	0.00259904	0.00380437	0.00467011	0.00378069	0.00198089	0.00404716	0.00265146	0.00327705	0.0033728	0.00121846	0.00459846	0.00302195	0.00268882	0.00229633	0.00559044	0.00393419	0.00368689	0.00379144	0.0040666	0.0034169	0.00340744	0.00306786	0.00415052	0.00155759	0.00491052	0.0023917	0.00232711	0.00496141	0.00305507	0.00537424	0.00210394	0.00456696	0.0034142	0.00193862	0.00309247	0.00404425	0.00200826	0.0018748	0.00392707	0.00174224	0.00156241	0.00375888	0.00228595	0.00282433	0.00378563	0.00245835	0.00203533	0.00358124	0.00429479	0.00163348	0.00122737	0.00282894	0.00455366	0.00250169	0.00309532	0.00299623	0.00145708	0.00273318	0.00433267	0.00163129	0.00207457	0.00155347	0.00313918	0.00333244	0.0027996	0.00409305	0.00287551	0.00276772	0.0035294	0.00250976	0.00354034	0.00326864	0.00396941	0.00366315	0.00426338	0.00269781	0.00268657	0.00382231	0.00264587	0.0036669	0.00425696	0.0025807	0.00367104	0.00395977	0.00166847
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.00841604	0.00920128	0.00840527	0.00929567	0.00939906	0.00929591	0.00617447	0.00725016	0.00752585	0.00780538	0.0100587	0.00925508	0.00736032	0.00882066	0.00694735	0.00837013	0.0099623	0.0050325	0.00792453	0.00908219	0.0068609	0.00702552	0.00862681	0.00810205	0.00886648	0.00800662	0.0080212	0.00884417	0.00954397	0.00878889	0.00949975	0.00932665	0.00699807	0.0085577	0.00505973	0.00802805	0.0073643	0.00824136	0.00636082	0.00932128	0.00921332	0.0106166	0.00587904	0.00820839	0.00861911	0.00690544	0.00845646	0.00875422	0.0087963	0.0101466	0.00756585	0.00738384	0.00914726	0.0103258	0.00833983	0.00664063	0.0102472	0.00827579	0.00795046	0.00420541	0.00890613	0.00790494	0.00736541	0.00804344	0.00660685	0.00694292	0.0079211	0.0135704	0.00935343	0.00843896	0.00948968	0.00832323	0.00898268	0.0106865	0.00838744	0.00884836	0.00991697	0.00655933	0.00737666	0.00647493	0.00777565	0.0096386	0.0100467	0.00965984	0.0156548	0.00876199	0.00873236	0.00710489	0.00802914	0.00717814	0.00886383	0.00924373	0.00896134	0.00903748	0.00946648	0.00798998	0.00811747	0.00909821	0.00641217	0.00835125	0.00527579	0.0085343	0.00791554	0.00856488	0.00923899	0.00743893	0.0109474	0.00759874	0.00821307	0.00840107	0.00893106	0.0124398	0.010732	0.00943871	0.00819054	0.00777565	0.00869974	0.00588165	0.0102235	0.00811533	0.00958957	0.00750219	0.0080841	0.00908908	0.00890953	0.00848024	0.00848848	0.00935172	0.00916098	0.00994434	0.010303	0.00948952	0.0085594	0.010997	0.00878827	0.0074594	0.00801955	0.0107895	0.00896935	0.00908026	0.00890106	0.00909706	0.0075638
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.00176342	0.000688254	0.0017303	0.000527447	0.000857097	0.00136925	0.00254115	0.00104748	0.00214066	0.00181304	0.00157088	0.000468281	0.00144262	0.00146992	0.00300675	0.000705325	0.00114641	0.000201251	0.000807716	0.00121818	0.000609252	0.00197424	0.00137165	0.000772744	0.00135352	0.000316688	0.00165057	0.00248818	0.00050699	0.00107777	0.00117757	0.0012528	0.00201104	0.000372711	0.00326891	0.00163703	0.00224894	0.000479421	0.00218218	0.00118791	0.0018578	0.00109277	0.00330786	0.00167576	0.00158846	0.00112336	0.00156076	0.00150457	0.00139877	0.000725657	0.00161687	0.00168166	0.00138273	0.000772326	0.00136085	0.000381312	0.00182388	0.000762191	0.00168135	0.00320368	0.000711971	0.00267468	0.000243963	0.00224409	0.00124981	0.00212653	0.00200362	0.00058617	0.000775679	0.00157804	0.000239809	0.00161011	0.00071758	0.000726985	0.00102423	0.00138669	0.00238039	0.00257623	0.00169022	0.00223472	0.00206404	0.000590574	0.00177153	0.00151946	0.000666013	0.00112973	0.00107959	0.00187025	0.000906227	0.00309364	0.00146953	0.00158416	0.00202785	0.00143744	0.000905458	0.000612217	0.0013237	0.000940121	0.000619314	0.00179595	0.00118174	0.000362821	0.00163538	0.000837481	0.000781011	0.0020853	0.000473531	0.000545937	0.000667241	0.00132193	7.99E-05	0.00118909	0.00111175	0.00039145	0.000304492	0.000923083	0.00188591	0.000353567	0.00258295	0.000919655	0.00188565	0.00233565	0.00168823	0.00182482	0.00154389	0.000924405	0.000651362	0.00109241	0.00155835	0.00173281	0.00107512	0.00107897	0.00216258	0.00187506	0.000786349	0.00236894	0.00184024	0.000455474	0.000489118	0.00133457	0.00233762	0.000334294	0.000288311
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	0.000138053	1.83E-05	8.50E-05	0	6.11E-05	0	0.000202656	0	0.000617706	1.09E-05	6.28E-06	0	8.57E-05	0.000338357	0.000555845	0	0	0	6.11E-05	2.00E-05	0	0.000294886	6.43E-05	0	1.32E-05	2.19E-05	0.000101886	0.000252393	3.70E-05	9.84E-05	2.79E-05	0.000179103	0.000697328	4.13E-05	0.00148232	1.93E-05	0.000674464	0	0.000271147	2.02E-05	1.42E-05	2.54E-05	0.00162149	9.74E-05	0.000107421	2.93E-05	0.000119695	1.73E-05	1.66E-05	0	5.97E-05	0.000323791	0	0	2.46E-05	0	0	1.27E-05	0.000146038	0.00177864	0	8.27E-05	0	0.000475478	0	0.000601	0.000225551	4.34E-05	3.90E-05	0.000145434	6.06E-06	0.000289033	1.34E-05	1.07E-05	4.54E-06	0.000154254	0.000181498	0.000242573	0.000174072	0.000229767	0.00017681	2.06E-05	0	5.67E-05	2.07E-05	3.59E-05	2.16E-05	0.000133177	8.97E-05	0.000734419	6.13E-05	8.09E-06	0.000183462	8.90E-05	0	1.49E-05	0.000189228	9.26E-06	1.17E-05	3.07E-05	0.000275732	0	0.000132305	0	2.59E-05	4.97E-05	1.22E-05	0	4.19E-05	0.000129965	0	0.000118003	0	0	0	0	3.44E-05	0	0	0	1.20E-05	0.000175955	0.000102471	3.51E-06	0.000171397	0	0	0	0	1.51E-05	0	3.69E-05	2.14E-05	3.53E-05	0	0.000591136	0.000205811	0	0	3.54E-05	0.000126607	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.00293726	0.00730371	0.0054267	0.00808197	0.00974625	0.00606274	0.00118513	0.00370111	0.00648603	0.00684501	0.00547251	0.00935879	0.00327494	0.0071596	0.00458983	0.00576928	0.00748612	0.000778617	0.00999668	0.00327959	0.0127083	0.00636076	0.00672881	0.00651716	0.00698908	0.00379425	0.0074766	0.00321394	0.000400544	0.00659019	0.00404058	0.000360148	0.00523944	0.00855626	0.00319577	0.00582382	0.00189188	0.00544705	0.00167569	0.00677187	0.00295286	0.00674152	0.00179496	0.00522407	0.00497757	0.010086	0.00619638	0.00446547	0.00916144	0.00617625	0.00952695	0.0013439	0.00296058	0.00848602	0.00136453	0.00223999	0.00749143	0.00453095	0.00905705	0.00172486	0.00507077	0.00604973	0.00151562	0.00603732	0.00185188	0.00302287	0.00607359	0.00993491	0.00727317	0.00793425	0.00903792	0.00277512	0.00738879	0.00401123	0.00900375	0.0052814	0.00430523	0.00597123	0.00711251	0.00592631	0.00477617	0.000233398	0.00657091	0.00838072	0.00269792	0.00732556	0.00509819	0.00404227	0.00310748	0.00386834	0.00176224	0.00199229	0.00827565	0.00327923	0.00187937	0.00305401	0.0078803	0.000566049	0.00251646	0.00699466	0.0102988	0.00317681	0.00645973	0.00418672	0.00788221	0.00677948	0.00847912	0.00554681	0.00237909	0.00794524	0.00671147	0.0034565	0.00440279	0.00289107	0.0023855	0.00958762	0.00631647	0.00232909	0.00348453	0.00970261	0.00289964	0.00680446	0.00185631	0.00469026	0.00853214	0.00135094	0.00765563	0.00713463	0.00688908	0.00888352	0.00764798	0.00470962	0.00570391	0.00615644	0.00716281	0.00527153	0.00218145	0.00560274	0.00269599	0.00551204	0.00537123	0.00500144	0.00235115
