feature	shannon	simpson	observed_species	pielou
Control.A01	1.52335677800341	0.708164465601818	58	0.375170092043334
Control.A02	2.66693568093239	0.883315403735994	124	0.553273837769606
Control.A03	3.05206107131053	0.868392311955275	205	0.573371284906843
Control.A04	3.14892752116468	0.906146159113896	200	0.594325953565193
Control.A05	2.5840191235825	0.88231081054911	88	0.577133066073263
Control.A06	2.82083421924804	0.88739984572386	108	0.602467996391594
Control.A07	3.1536131675422	0.856442072557577	221	0.584201207321063
Control.A08	2.72953003818922	0.780947359036118	217	0.507357270746615
Control.A09	3.05664362201702	0.923146891318094	150	0.610031152260969
Control.A10	3.36618123370112	0.916217594189104	216	0.626233839141994
Control.A11	3.25236398164606	0.926666739704348	200	0.613848464831588
Control.A12	2.13414586401177	0.755079542178782	114	0.450603133982956
Control.A13	3.53103165947768	0.923677561118201	219	0.655220757211541
Control.A14	1.79497030851883	0.704511159102626	78	0.412001439601078
Control.A15	2.74314898337434	0.875082780253718	164	0.537886437261981
Control.A16	3.05368917014957	0.921085738798216	160	0.601691544235097
Control.A17	3.18255807591373	0.914652181253662	202	0.599547396125449
Control.A18	1.14658168100419	0.462842930506235	109	0.244403465653752
Control.A19	1.81547458334513	0.70854112102409	87	0.406518570268317
Control.A20	3.17418115834098	0.918682019325566	177	0.613232097666275
Control.A21	2.13570484169721	0.771226668247523	123	0.443811933205108
Control.A22	1.30650131880874	0.465855389230098	102	0.282488432160312
Control.A23	3.39292183589356	0.93153717170348	247	0.615843652431696
Control.A24	2.71283796109799	0.899461345435612	122	0.564701514801257
Control.A25	2.21684456368952	0.798686621253081	92	0.490258340458777
Control.A26	3.71563847659679	0.947301758649432	223	0.68716856679281
Control.A27	2.74025953340269	0.882445468207214	130	0.562966643851122
Control.A28	4.28546383554363	0.97330936434075	337	0.736323500339569
Control.C01	2.28482066240745	0.824349056503907	123	0.474799071206952
Control.C02	3.44728982201882	0.928834964108039	197	0.652499884353746
Control.C03	3.76157881701574	0.950613334632157	271	0.671456450190941
Control.C04	4.2628088288995	0.968686251856838	347	0.728769386086
Control.C05	2.16612606953655	0.781553614781561	95	0.47566636540656
Control.C06	2.24713155473393	0.78837153991117	111	0.477145587495702
Control.C07	1.57020924529974	0.657231433698741	111	0.33341101515013
Control.C08	3.76323348355457	0.958853322619802	232	0.690915171186836
Control.C09	3.40179819062246	0.904641387038833	219	0.631240102409676
Control.C10	2.14543498748512	0.69487902823364	138	0.435422067661749
Control.C11	2.53598662952075	0.837193866764924	143	0.510994564298488
Control.C12	3.60297673680277	0.94392420668783	258	0.648838998682111
Control.C13	3.67318604089364	0.950781880276602	217	0.682761361325296
Control.C14	3.63036046865344	0.947807529129061	170	0.706873626983408
Control.C15	3.04410652893156	0.892545275209355	235	0.557570995278889
Control.C17	3.54782088213632	0.936169869571989	211	0.662913850414788
Control.C18	2.68062779955643	0.829341204962508	173	0.520177783539082
