feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
shannon	Group	Control	0.526613750497982	0.220718284716288	115	115	0.0188458162747635	0.122575943775425
pielou	Group	Control	0.0841473720384259	0.0357401375994106	115	115	0.0204293239625709	0.122575943775425
simpson	Group	Control	0.0792255116677729	0.0435669450666411	115	115	0.0718692691819512	0.287477076727805
observed_species	Group	Control	27.7915683171829	18.5908511975052	115	115	0.137967255299861	0.413901765899582
observed_species	Gender	Male	14.2675724260201	13.4516643763144	115	115	0.291303804570756	0.699129130969815
simpson	BMI	BMI	0.00239123689238662	0.00360025859884905	115	115	0.508041949854978	0.762062924782467
observed_species	BMI	BMI	-1.20815106020553	1.53629940729975	115	115	0.433419435475667	0.762062924782467
pielou	BMI	BMI	0.00210104915212174	0.00295347166342519	115	115	0.478439576898221	0.762062924782467
shannon	Gender	Male	0.0522557479387404	0.159703730408952	115	115	0.744171047605997	0.862753587740776
shannon	BMI	BMI	0.00685094658007932	0.018239582813473	115	115	0.707972817757041	0.862753587740776
simpson	Gender	Male	-0.00838147931789902	0.0315234583242981	115	115	0.790857455429045	0.862753587740776
pielou	Gender	Male	-0.000235871298395465	0.0258602648497925	115	115	0.992740074732149	0.992740074732149
