feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
shannon	Gender	Male	0.0485883991910163	0.139792516850772	126	126	0.729415632948604	0.980070341310248
shannon	BMI	BMI	-0.000857053811040817	0.0177691244780343	126	126	0.961620434653258	0.980070341310248
shannon	Group	Relatives	0.186422033103754	0.158858950356422	126	126	0.247357987091596	0.980070341310248
simpson	Gender	Male	0.005118686480311	0.0244865220779482	126	126	0.835440480225553	0.980070341310248
simpson	BMI	BMI	0.000381813110261022	0.00334288006328767	126	126	0.909322041948675	0.980070341310248
simpson	Group	Relatives	0.0391135634156233	0.0268903463294132	126	126	0.156297385401134	0.980070341310248
observed_species	Gender	Male	5.04919767024925	11.9522397986081	126	126	0.674067661041604	0.980070341310248
observed_species	BMI	BMI	-0.891258187132751	1.48687296343664	126	126	0.550121316383905	0.980070341310248
observed_species	Group	Relatives	0.344512612377934	13.7206755693103	126	126	0.980070341310248	0.980070341310248
pielou	Gender	Male	0.00520910485732086	0.0218636009292194	126	126	0.812634205886345	0.980070341310248
pielou	BMI	BMI	0.000210742652327569	0.00284245538235448	126	126	0.94104252121473	0.980070341310248
pielou	Group	Relatives	0.0340122977984899	0.0245744407910136	126	126	0.17496617469331	0.980070341310248
