feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
shannon	Group	Control	0.493703420079583	0.220645255505661	143	143	0.0272632133456005	0.258786746176805
pielou	Group	Control	0.0760240643535458	0.0350288356209888	143	143	0.0323483432721007	0.258786746176805
simpson	Group	Control	0.0574397194327376	0.0385227101950892	143	143	0.141075020854626	0.621034281848762
observed_species	Group	Control	26.3771858763297	18.4325921622861	143	143	0.15525857046219	0.621034281848762
simpson	Group	Relatives	0.0380597132447184	0.0305486014714819	143	143	0.219130600672804	0.701217922152972
pielou	Group	Relatives	0.030886980045541	0.0286327650877796	143	143	0.28414953213709	0.757732085698906
shannon	Group	Relatives	0.157927383089256	0.18165736929962	143	143	0.387035171272137	0.8846518200506
observed_species	Gender	Male	8.66898067201672	12.1911867686476	143	143	0.478601697808395	0.957203395616791
shannon	Gender	Male	0.0362859153783793	0.146075637791164	143	143	0.804314236915105	0.974885825553229
shannon	BMI	BMI	0.0031267306882589	0.0175253946851316	143	143	0.858686591253437	0.974885825553229
simpson	Gender	Male	0.000870577969337382	0.0255370769335527	143	143	0.972904210610303	0.974885825553229
simpson	BMI	BMI	0.000837578964916433	0.00326601751025111	143	143	0.798069788416554	0.974885825553229
observed_species	BMI	BMI	-0.62453591666638	1.47062631672217	143	143	0.671800232842268	0.974885825553229
observed_species	Group	Relatives	-1.09656005944171	15.1221452097082	143	143	0.942354827805508	0.974885825553229
pielou	Gender	Male	0.00073069981265795	0.023150028784396	143	143	0.974885825553229	0.974885825553229
pielou	BMI	BMI	0.000940036119496489	0.0028086759865588	143	143	0.738418304849116	0.974885825553229
