"Sample1","Sample2","BC","jaccard","JSD","Group"
"Control.A01","Control.A02",0.950929879782096,0.974847829885416,7.83488111661767,"Relatives-Relatives"
"Control.A01","Control.A03",0.98760872349876,0.993765736508025,8.15991588467431,"Relatives-Relatives"
"Control.A01","Control.A04",0.986485439585215,0.993196748314648,8.17233610277318,"Relatives-Relatives"
"Control.A01","Control.A05",0.97571192303416,0.987706670854858,8.05986671246471,"Relatives-Relatives"
"Control.A01","Control.A06",0.965064944724439,0.982221933494183,8.05153621881968,"Relatives-Relatives"
"Control.A01","Control.A07",0.97458571969902,0.987129310190264,8.10208135893857,"Relatives-Relatives"
"Control.A01","Control.A08",0.990369916384106,0.995161661389362,8.2025555059083,"Relatives-Relatives"
"Control.A01","Control.A09",0.970005535547319,0.98477442630924,8.11540265747903,"Relatives-Relatives"
"Control.A01","Control.A10",0.990335683032102,0.995144378382859,8.19124091913674,"Relatives-Relatives"
"Control.A01","Control.A11",0.99271343455876,0.996343395234422,8.23023370382362,"Relatives-Relatives"
"Control.A01","Control.A12",0.990649945265518,0.99530301409511,8.19661018855228,"Relatives-Relatives"
"Control.A01","Control.A13",0.943768596609973,0.971070937410915,7.84119098372868,"Relatives-Relatives"
"Control.A01","Control.A14",0.972801019232896,0.986213013627862,8.10670841399941,"Relatives-Relatives"
"Control.A01","Control.A15",0.96230847736345,0.980792254086783,7.94537607569102,"Relatives-Relatives"
"Control.A01","Control.A16",0.966039755742879,0.982726572970906,7.95196574968011,"Relatives-Relatives"
"Control.A01","Control.A17",0.985817172525422,0.992857938952889,8.1995963639333,"Relatives-Relatives"
"Control.A01","Control.A18",0.99627927698491,0.998136171096907,8.27664449018812,"Relatives-Relatives"
"Control.A01","Control.A19",0.981921877045575,0.990878488620665,8.14361565524174,"Relatives-Relatives"
"Control.A01","Control.A20",0.992037315635383,0.996002743371262,8.22729612051735,"Relatives-Relatives"
"Control.A01","Control.A21",0.989554141018897,0.994749648292681,8.19180757627061,"Relatives-Relatives"
"Control.A01","Control.A22",0.990501984018435,0.99522833131651,8.24099926196173,"Relatives-Relatives"
"Control.A01","Control.A23",0.964913061587439,0.98214326165443,7.88479023065318,"Relatives-Relatives"
"Control.A01","Control.A24",0.985992459076323,0.992946830759774,8.1933975027023,"Relatives-Relatives"
"Control.A01","Control.A25",0.986615913432116,0.993262871560934,8.17055855235231,"Relatives-Relatives"
"Control.A01","Control.A26",0.983674191463593,0.991769914330356,8.13329136952975,"Relatives-Relatives"
"Control.A01","Control.A27",0.982003544082688,0.990920068750109,8.17258489554409,"Relatives-Relatives"
"Control.A01","Control.A28",0.96427396117712,0.981812089591886,7.99036467305057,"Relatives-Relatives"
"Control.A01","Control.C01",0.981084878107799,0.990452139582092,8.13302311118034,"Relatives-Control"
"Control.A01","Control.C02",0.952027046349284,0.975424032294821,7.91956316842728,"Relatives-Control"
"Control.A01","Control.C03",0.978935971664572,0.989355881828905,8.03151052055643,"Relatives-Control"
"Control.A01","Control.C04",0.992014272273052,0.995991129261421,8.23995801339243,"Relatives-Control"
"Control.A01","Control.C05",0.959162198339634,0.979155476920198,7.98615060437415,"Relatives-Control"
"Control.A01","Control.C06",0.971143732272963,0.985360647600385,8.04027763163418,"Relatives-Control"
"Control.A01","Control.C07",0.980276112993328,0.990039829861474,8.07315599006439,"Relatives-Control"
"Control.A01","Control.C08",0.982380121599066,0.991111755909497,8.16152851691408,"Relatives-Control"
"Control.A01","Control.C09",0.950853018672071,0.974807440203064,7.85224732796796,"Relatives-Control"
"Control.A01","Control.C10",0.981167892301357,0.990494441298074,8.10367457463398,"Relatives-Control"
"Control.A01","Control.C11",0.979592870381185,0.989691249183533,8.13633008641357,"Relatives-Control"
"Control.A01","Control.C12",0.977051179250892,0.988392399250988,8.03939146082804,"Relatives-Control"
"Control.A01","Control.C13",0.980178286613389,0.989989934986858,8.12115671677185,"Relatives-Control"
"Control.A01","Control.C14",0.975630515218357,0.987664958303729,8.09950336939298,"Relatives-Control"
