"","Control.A01","Control.A02","Control.A03","Control.A04","Control.A05","Control.A06","Control.A07","Control.A08","Control.A09","Control.A10","Control.A11","Control.A12","Control.A13","Control.A14","Control.A15","Control.A16","Control.A17","Control.A18","Control.A19","Control.A20","Control.A21","Control.A22","Control.A23","Control.A24","Control.A25","Control.A26","Control.A27","Control.A28","PsO.A01","PsO.A02","PsO.A03","PsO.A04","PsO.A05","PsO.A06","PsO.A07","PsO.A08","PsO.A09","PsO.A10","PsO.A11","PsO.A12","PsO.A13","PsO.A14","PsO.A15","PsO.A16","PsO.A17","PsO.A18","PsO.A19","PsO.A20","PsO.A21","PsO.A22","PsO.A23","PsO.A24","PsO.A25","PsO.A26","PsO.A27","PsO.A28"
"k__Bacteria|p__Firmicutes|c__CFGB4806",0,4.22929061871612,6.77930201520655,36.171359690043,0,0,0,5.74324932280897,0,0,0,0,0,0,0,0,2680.6211766833,0,0,53.6250284000973,0.990239015971763,0,0,0,0,0,0,23921.6953532582,381.849994079754,18.1197490957279,3391.90355569716,19.1472430821917,39639.077107382,848.512926200183,3260.01146062595,120459.064288843,19.0640968589983,103.494301539462,6407.88764181623,0,65.6588831456381,80.626282922299,12.6339430066447,68279.3988706042,48.7683266683287,73.3325436516851,56.645555752984,22.3702188143743,0,0,0,0,0,30.8469624277939,120.272402704908,45657.358504164
"k__Bacteria|p__Firmicutes|c__Clostridia",54649.5215738301,107890.337133334,229463.318748278,207785.807272216,64315.9591520226,198761.196754335,247615.177362413,220327.823319993,62033.587010748,268562.84939184,351741.050199852,86234.0898167504,266806.551968342,67836.5649780371,203404.039897066,330046.103863791,198600.593821388,67590.9734301563,32785.2097043738,470344.095108221,40224.6250982092,150254.865308378,178689.869514612,214709.922592963,107008.256460688,138301.30417205,164916.465208734,353471.660602402,25279.2356651666,125286.115181997,273195.837401874,107896.526598395,129931.529684785,127320.523084973,54091.7060665328,180797.195914499,35645.724931742,270259.170263992,73918.5285286339,171245.116426081,145926.077940335,160688.06206283,2593.85408553136,291602.950970617,85046.4758769816,55637.6222989495,127680.20569569,106254.611600293,23695.6399219336,95228.5660110141,69889.0162779509,130821.75304154,125767.963869792,81348.6256332805,81779.8653087632,231870.541503824
"k__Bacteria|p__Firmicutes|c__Negativicutes",0,9554.64419417871,4995.56984418061,6741.03186614677,10350.146306711,6472.14063054827,37354.3258538362,8583.04962620118,14169.5419833482,6755.75993312437,19028.4192063512,13611.2311277376,21971.3116972318,15677.4562165398,11644.1320319959,843.650060644815,7209.19788507002,11859.592992198,415.986315585425,22175.3898280847,16382.9643888805,5192.57750169143,5942.1766416805,13604.0762338544,11703.1517860021,9818.73954277904,2054.32232534511,7701.49542456728,15022.1044790297,12967.1094463163,2680.64761026301,9259.9735942518,18393.8149634598,42339.1746196896,13745.646922142,40971.1057169004,8456.1490144567,27612.1344683416,9016.45486323543,4824.18736532787,37081.856759496,12373.2677543234,51630.1736861327,30740.4096097104,68572.2547951252,34829.7800568149,3816.49993399962,32155.0563613261,6333.72322379673,17275.680507501,738.265484289876,8585.45147600345,11863.7308257215,15392.9193764829,12184.4285366609,15852.0971948742
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria",0,4253.09306631825,2003.55356845931,9795.80635824708,6701.30187054573,22061.7938570502,8652.63992174924,5451.98775323028,9587.36906820185,1090.58606606562,136945.547189202,8127.64486444943,16052.3338738166,395.50477321502,5902.77292387769,9475.77624669495,4977.99377886989,67.3145328547849,1268.41573468571,2261.45329471704,4501.24847534699,48.2652133301444,11038.0996388354,4613.24776002668,5312.00091630385,14700.1314503274,14225.7679003834,13085.8081923834,2031.95660172676,3974.19995944509,1757.34137427029,5188.56735115451,3695.46925498268,96.9058399920573,689.933741749751,14263.0634497671,445.768970933776,9442.57948450505,12036.4126611474,3257.67376716681,939.132655874887,347.304003256679,0,9068.72710876681,7170.41818670951,1796.7384966964,0,1867.540810243,94.4234968097589,17601.8070680296,266.87515577888,1068.59325842603,606.74549681358,888.378261669775,2316.46321667574,10747.3107476942
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales",53.4823121793656,128.60426913392,113.207598079805,42.3402819189037,44.8934917444297,297.144885077159,5061.73903635704,460.946433884739,130.198745988645,803.244608569126,48.8100138584506,0,295.245653073779,45.6614435871084,618.87576993148,18.9372168432562,858.596269360061,0,135.113478717587,1097.87249755747,0,434.566790331536,257.153037107609,47.1113258111636,0,7367.98413234286,122.456706865963,7016.46920561208,0,201.444803547613,0,14.9643757266194,0,10.8884667845428,0,214.783159449313,0,87.3583162493416,5.08358627944043,1218.99826326771,98.7111031621962,16.2587494748852,0,51.638786455087,1466.57813290099,0,15.1608842717146,315.079227256344,0,0,0,58.2230926322719,0,0,0,10144.5849932081
"k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806",0,4.22929061871612,6.77930201520655,36.171359690043,0,0,0,5.74324932280897,0,0,0,0,0,0,0,0,2680.6211766833,0,0,53.6250284000973,0.990239015971763,0,0,0,0,0,0,23921.6953532582,381.849994079754,18.1197490957279,3391.90355569716,19.1472430821917,39639.077107382,848.512926200183,3260.01146062595,120459.064288843,19.0640968589983,103.494301539462,6407.88764181623,0,65.6588831456381,80.626282922299,12.6339430066447,68279.3988706042,48.7683266683287,73.3325436516851,56.645555752984,22.3702188143743,0,0,0,0,0,30.8469624277939,120.272402704908,45657.358504164
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales",54649.5215738301,106781.467884594,216704.925314689,200059.95855537,62954.9256271273,194760.394683847,196729.77083483,214012.298616622,59634.8572582526,265812.455229879,322681.344672961,83558.2354157266,254321.331403145,67836.5649780371,202416.146080619,328815.951696764,197885.917562207,67552.8688946538,32768.3015429219,452039.673818709,39839.4941383792,150251.667613085,158940.278262108,210710.483880243,107008.256460688,134400.242822304,164713.180693548,342862.515920306,25227.5562755357,122476.898073415,267698.016077683,105090.739702066,125136.509998899,124837.695211734,53712.6030053464,177208.388569451,33418.1021345641,256682.107504861,73862.0301658201,168068.851596796,143562.277136749,160688.06206283,2593.85408553136,287938.718043131,84233.485154757,55166.4444243391,125421.975137992,105092.37602401,23571.8465514929,92117.6455078107,68762.584599095,129672.813168739,125767.963869792,79939.1635886233,80717.4446533361,224912.149160442
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales",0,0,0,3376.14796957926,0,0,988.757271792479,1657.32157419176,0,3302.78204579636,11176.2354922465,287.805190388931,12459.0349515052,0,0,79.613003520169,0,3479.6435444935,0,3978.60079129845,9270.239576267,0,0,0,0,1543.76153668584,0,465.580249815576,2398.3675991323,29.6617810539655,783.930163010701,0,4390.96719252206,35632.5302682718,8137.43769378816,14.00759735539,716.219694125778,7099.7298259481,2.98502397191342,0,952.155068540725,9831.88829561378,0,11176.9663907889,64448.9386919784,14381.8273672729,84.9009519216016,9631.04511427536,0,5515.38138634117,15.3236242901491,0,5593.0466385639,7029.00876146399,162.297029135997,642.229795554718
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales",0,4253.09306631825,2003.55356845931,9795.80635824708,6701.30187054573,22061.7938570502,8652.63992174924,5451.98775323028,9587.36906820185,1090.58606606562,136945.547189202,8127.64486444943,16052.3338738166,395.50477321502,5902.77292387769,9475.77624669495,4977.99377886989,67.3145328547849,1268.41573468571,2261.45329471704,4501.24847534699,48.2652133301444,11038.0996388354,4613.24776002668,5312.00091630385,14700.1314503274,14225.7679003834,13085.8081923834,2031.95660172676,3974.19995944509,1757.34137427029,5188.56735115451,3695.46925498268,96.9058399920573,689.933741749751,14263.0634497671,445.768970933776,9442.57948450505,12036.4126611474,3257.67376716681,939.132655874887,347.304003256679,0,9068.72710876681,7170.41818670951,1796.7384966964,0,1867.540810243,94.4234968097589,17601.8070680296,266.87515577888,1068.59325842603,606.74549681358,888.378261669775,2316.46321667574,10747.3107476942
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae",53.4823121793656,128.60426913392,113.207598079805,42.3402819189037,44.8934917444297,297.144885077159,5061.73903635704,460.946433884739,130.198745988645,803.244608569126,48.8100138584506,0,295.245653073779,45.6614435871084,618.87576993148,18.9372168432562,858.596269360061,0,135.113478717587,1097.87249755747,0,434.566790331536,257.153037107609,47.1113258111636,0,7367.98413234286,122.456706865963,7016.46920561208,0,201.444803547613,0,14.9643757266194,0,10.8884667845428,0,214.783159449313,0,87.3583162493416,5.08358627944043,1218.99826326771,98.7111031621962,16.2587494748852,0,51.638786455087,1466.57813290099,0,15.1608842717146,315.079227256344,0,0,0,58.2230926322719,0,0,0,10144.5849932081
