"","feature","enrich_group","ef_lda","pvalue","padj"
"marker1","k__Bacteria|p__Firmicutes|c__Clostridia","Healthy","4.772967","4.558734e-02","4.558734e-02"
"marker2","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales","Healthy","4.741325","4.738895e-02","4.738895e-02"
"marker3","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae","Healthy","4.473717","3.742215e-02","3.742215e-02"
"marker4","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus","Healthy","4.265456","2.387763e-02","2.387763e-02"
"marker5","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea","Healthy","4.246097","1.338873e-03","1.338873e-03"
"marker6","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria","Healthy","3.881220","2.084931e-02","2.084931e-02"
"marker7","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales","Healthy","3.881220","2.084931e-02","2.084931e-02"
"marker8","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae","Healthy","3.881220","2.084931e-02","2.084931e-02"
"marker9","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_congonensis","Healthy","3.841043","8.927903e-04","8.927903e-04"
"marker10","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio","Healthy","3.755929","6.021183e-03","6.021183e-03"
"marker11","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_AF39_11AC","Healthy","3.746450","2.562241e-03","2.562241e-03"
"marker12","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis","Healthy","3.717605","1.550477e-02","1.550477e-02"
"marker13","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3746","Healthy","3.661741","1.886754e-02","1.886754e-02"
"marker14","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3746|s__GGB3746_SGB5089","Healthy","3.661741","1.886754e-02","1.886754e-02"
"marker15","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus","Healthy","3.497667","1.006427e-02","1.006427e-02"
"marker16","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__GGB6574","Healthy","3.467766","8.395450e-03","8.395450e-03"
"marker17","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified","Healthy","3.460717","3.047953e-02","3.047953e-02"
"marker18","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB51269","Healthy","3.457515","2.562241e-03","2.562241e-03"
"marker19","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__GGB6574|s__GGB6574_SGB9290","Healthy","3.423987","9.557521e-03","9.557521e-03"
"marker20","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB51269|s__GGB51269_SGB5062","Healthy","3.414964","5.191209e-03","5.191209e-03"
"marker21","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__GGB1385|s__GGB1385_SGB1890","Healthy","3.294154","7.749138e-03","7.749138e-03"
"marker22","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__GGB1385","Healthy","3.292625","7.749138e-03","7.749138e-03"
"marker23","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_bolteae","Healthy","3.198513","4.058855e-02","4.058855e-02"
"marker24","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF20_17LB","Healthy","3.144085","3.100015e-02","3.100015e-02"
"marker25","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium","Healthy","2.975478","9.496758e-03","9.496758e-03"
"marker26","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified","Healthy","2.961434","1.130000e-02","1.130000e-02"
"marker27","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bicirculans","Healthy","2.959406","2.236553e-03","2.236553e-03"
"marker28","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Agathobaculum","Healthy","2.794925","1.423417e-02","1.423417e-02"
"marker29","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens","Healthy","2.794925","1.423417e-02","1.423417e-02"
"marker30","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales","Healthy","2.679624","3.828957e-03","3.828957e-03"
"marker31","k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae","Healthy","2.679624","3.828957e-03","3.828957e-03"
"marker32","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified","Healthy","2.642095","1.823122e-02","1.823122e-02"
"marker33","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|f__Clostridiales_unclassified_g__Lawsonibacter","Healthy","2.642095","1.823122e-02","1.823122e-02"
