feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Dysosmobacter_welbionis	BMI	BMI	-0.000747612781089729	0.000202311212164988	56	44	0.000528697457659734	0.602715101732096
s__GGB3321_SGB4394	Gender	Male	0.000705464548797069	0.000274459882441226	56	11	0.0130621941770449	0.647078078457579
s__GGB41458_SGB58520	Gender	Male	1.30716419403872e-05	5.15072970580982e-06	56	8	0.0141903087381048	0.647078078457579
s__GGB1663_SGB2279	BMI	BMI	-0.000535602861027679	0.00020715798649435	56	11	0.0125669110594883	0.647078078457579
s__GGB9719_SGB15272	Disease	Psoriasis	7.14575990970744e-05	2.47911785529307e-05	56	16	0.00572541100683298	0.647078078457579
s__GGB9699_SGB15216	BMI	BMI	-0.000252234800277173	9.16411756624429e-05	56	24	0.00812642716711089	0.647078078457579
s__Dorea_formicigenerans	BMI	BMI	-5.15625654540204e-05	1.68449968935949e-05	56	37	0.00348629096698356	0.647078078457579
s__Alistipes_shahii	Gender	Male	0.00436184863459925	0.00162360628577645	56	49	0.00967082716099457	0.647078078457579
s__GGB33085_SGB1673	Disease	Psoriasis	-1.55112117016655e-05	5.30524394152042e-06	56	11	0.00511158764227957	0.647078078457579
s__Alistipes_putredinis	Gender	Male	0.0162662374840965	0.00640264181941758	56	56	0.0140924884154152	0.647078078457579
s__Ruminococcus_bromii	Gender	Male	0.00332880937936341	0.00125566653678062	56	32	0.0106099612297791	0.647078078457579
s__Bacteroides_ovatus	BMI	BMI	-0.0144710193978383	0.00525956506210719	56	56	0.008149054390848	0.647078078457579
s__Bacteroides_stercoris	BMI	BMI	0.0246741361707014	0.00930757344925807	56	56	0.0106114979606321	0.647078078457579
s__Megamonas_funiformis	Disease	Psoriasis	0.00769116446991147	0.00293671263217751	56	26	0.0115293186928096	0.647078078457579
s__Bacteroides_uniformis	BMI	BMI	-0.0203449098612983	0.00798905684646718	56	56	0.0138778279213534	0.647078078457579
s__Evtepia_gabavorous	BMI	BMI	-5.36359521323502e-05	1.79248942186975e-05	56	16	0.00422796550640137	0.647078078457579
