"z","module","p","roles","label","role_7"
-0.428538545726564,"2",0,"Peripherals","","ultra peripheral"
4.3506665133714,"2",0,"Module hubs","k__Bacteria;p__Firmicutes;c__CFGB45503;o__OFGB45503;f__FGB45503;g__GGB9790;s__GGB9790_SGB15413","provincial hub"
4.72655904610945,"2",0,"Module hubs","k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9618;s__GGB9618_SGB15065","provincial hub"
4.67286011286116,"2",0,"Module hubs","k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium_SGB15315","provincial hub"
4.72655904610945,"2",0,"Module hubs","k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_SGB15196","provincial hub"
-0.106344946236813,"2",0,"Peripherals","","ultra peripheral"
0.108450786756354,"2",0,"Peripherals","","ultra peripheral"
0.269547586501229,"2",0,"Peripherals","","ultra peripheral"
-0.32114067922998,"2",0,"Peripherals","","ultra peripheral"
0.269547586501229,"2",0,"Peripherals","","ultra peripheral"
0.215848653252938,"2",0,"Peripherals","","ultra peripheral"
0.376945452997813,"2",0,"Peripherals","","ultra peripheral"
0.215848653252938,"2",0,"Peripherals","","ultra peripheral"
0.108450786756354,"2",0,"Peripherals","","ultra peripheral"
-0.160043879485105,"2",0,"Peripherals","","ultra peripheral"
-0.160043879485105,"2",0,"Peripherals","","ultra peripheral"
-0.106344946236813,"2",0,"Peripherals","","ultra peripheral"
0.860235852232439,"2",0,"Peripherals","","ultra peripheral"
0.806536918984147,"2",0,"Peripherals","","ultra peripheral"
-0.160043879485105,"2",0,"Peripherals","","ultra peripheral"
-0.32114067922998,"2",0,"Peripherals","","ultra peripheral"
-0.160043879485105,"2",0,"Peripherals","","ultra peripheral"
-0.160043879485105,"2",0,"Peripherals","","ultra peripheral"
0.162149720004646,"2",0,"Peripherals","","ultra peripheral"
0.215848653252938,"2",0,"Peripherals","","ultra peripheral"
-0.32114067922998,"2",0,"Peripherals","","ultra peripheral"
-0.213742812733397,"2",0,"Peripherals","","ultra peripheral"
0.215848653252938,"2",0,"Peripherals","","ultra peripheral"
-0.267441745981688,"2",0,"Peripherals","","ultra peripheral"
-0.267441745981688,"2",0,"Peripherals","","ultra peripheral"
-0.160043879485105,"2",0,"Peripherals","","ultra peripheral"
0.215848653252938,"2",0,"Peripherals","","ultra peripheral"
0.269547586501229,"2",0,"Peripherals","","ultra peripheral"
-0.213742812733397,"2",0,"Peripherals","","ultra peripheral"
-0.160043879485105,"2",0.0768,"Peripherals","","peripheral"
0.0547518535080622,"2",0.0768,"Peripherals","","peripheral"
0.269547586501229,"2",0.0768,"Peripherals","","peripheral"
0.323246519749521,"2",0.0768,"Peripherals","","peripheral"
0.323246519749521,"2",0.0768,"Peripherals","","peripheral"
0.323246519749521,"2",0.0768,"Peripherals","","peripheral"
0.323246519749521,"2",0.0768,"Peripherals","","peripheral"
0.323246519749521,"2",0.0768,"Peripherals","","peripheral"
0.323246519749521,"2",0.32,"Peripherals","","peripheral"
-0.106344946236813,"2",0.0768,"Peripherals","","peripheral"
0.323246519749521,"2",0.0768,"Peripherals","","peripheral"
-0.0526460129885214,"2",0.0768,"Peripherals","","peripheral"
0.0547518535080622,"2",0,"Peripherals","","ultra peripheral"
0.162149720004646,"2",0.0768,"Peripherals","","peripheral"
0.0547518535080622,"2",0.0768,"Peripherals","","peripheral"
-0.0526460129885214,"2",0.0768,"Peripherals","","peripheral"
0.0547518535080622,"2",0.0768,"Peripherals","","peripheral"
-0.267441745981688,"2",0.0768,"Peripherals","","peripheral"
-0.160043879485105,"2",0.0768,"Peripherals","","peripheral"
-0.106344946236813,"2",0.0768,"Peripherals","","peripheral"
-0.213742812733397,"2",0.0768,"Peripherals","","peripheral"
-0.482237478974856,"2",0.0768,"Peripherals","","peripheral"
-0.482237478974856,"2",0.0768,"Peripherals","","peripheral"
-0.535936412223147,"2",0.0768,"Peripherals","","peripheral"
-0.589635345471439,"2",0.0768,"Peripherals","","peripheral"
-0.374839612478272,"2",0,"Peripherals","","ultra peripheral"
-0.267441745981688,"2",0,"Peripherals","","ultra peripheral"
-0.643334278719731,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.428538545726564,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.482237478974856,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.589635345471439,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.482237478974856,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.374839612478272,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.482237478974856,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.535936412223147,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.374839612478272,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.213742812733397,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.589635345471439,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.589635345471439,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.589635345471439,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.535936412223147,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.32114067922998,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.589635345471439,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.589635345471439,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.535936412223147,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.482237478974856,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.482237478974856,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.589635345471439,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.589635345471439,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.643334278719731,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.589635345471439,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.643334278719731,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.535936412223147,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.32114067922998,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.160043879485105,"2",0.0849382716049383,"Peripherals","","peripheral"
0.108450786756354,"2",0.155726573110004,"Peripherals","","peripheral"
0.323246519749521,"2",0.0849382716049383,"Peripherals","","peripheral"
0.162149720004646,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.374839612478272,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.106344946236813,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.643334278719731,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.482237478974856,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.482237478974856,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.374839612478272,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.643334278719731,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.643334278719731,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.643334278719731,"2",0.0849382716049383,"Peripherals","","peripheral"
-0.535936412223147,"2",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.252916380746986,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
0,"47",0.0849382716049383,"Peripherals","","peripheral"
