"z","module","p","roles","label","role_7"
0.420449997723406,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.420449997723406,"3",0,"Peripherals","","ultra peripheral"
0.778746517522483,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.330875867773637,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.599598257622945,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
0.241301737823868,"3",0,"Peripherals","","ultra peripheral"
0.241301737823868,"3",0,"Peripherals","","ultra peripheral"
-0.923161951523132,"3",0,"Peripherals","","ultra peripheral"
-1.0127360814729,"3",0,"Peripherals","","ultra peripheral"
-1.0127360814729,"3",0,"Peripherals","","ultra peripheral"
-0.654439561673824,"3",0,"Peripherals","","ultra peripheral"
-1.10231021142267,"3",0,"Peripherals","","ultra peripheral"
-1.37103260127198,"3",0,"Peripherals","","ultra peripheral"
-1.46060673122175,"3",0,"Peripherals","","ultra peripheral"
-1.10231021142267,"3",0,"Peripherals","","ultra peripheral"
-1.10231021142267,"3",0,"Peripherals","","ultra peripheral"
-1.10231021142267,"3",0,"Peripherals","","ultra peripheral"
-1.10231021142267,"3",0,"Peripherals","","ultra peripheral"
-1.10231021142267,"3",0,"Peripherals","","ultra peripheral"
-1.10231021142267,"3",0,"Peripherals","","ultra peripheral"
-1.10231021142267,"3",0,"Peripherals","","ultra peripheral"
-1.46060673122175,"3",0,"Peripherals","","ultra peripheral"
-1.63975499112129,"3",0,"Peripherals","","ultra peripheral"
-1.63975499112129,"3",0,"Peripherals","","ultra peripheral"
0.868320647472253,"3",0,"Peripherals","","ultra peripheral"
-1.46060673122175,"3",0,"Peripherals","","ultra peripheral"
-1.55018086117152,"3",0,"Peripherals","","ultra peripheral"
0,"54",0,"Peripherals","","ultra peripheral"
0,"54",0,"Peripherals","","ultra peripheral"
0,"54",0,"Peripherals","","ultra peripheral"
0,"54",0,"Peripherals","","ultra peripheral"
0,"76",0,"Peripherals","","ultra peripheral"
0,"76",0,"Peripherals","","ultra peripheral"
0,"57",0,"Peripherals","","ultra peripheral"
0,"57",0,"Peripherals","","ultra peripheral"
0,"57",0,"Peripherals","","ultra peripheral"
0,"57",0,"Peripherals","","ultra peripheral"
0,"55",0,"Peripherals","","ultra peripheral"
0,"55",0,"Peripherals","","ultra peripheral"
0,"55",0,"Peripherals","","ultra peripheral"
0,"55",0,"Peripherals","","ultra peripheral"
0.801783725737273,"37",0,"Peripherals","","ultra peripheral"
-1.0690449676497,"37",0,"Peripherals","","ultra peripheral"
-1.0690449676497,"37",0,"Peripherals","","ultra peripheral"
0.801783725737273,"37",0,"Peripherals","","ultra peripheral"
0.801783725737273,"37",0,"Peripherals","","ultra peripheral"
-1.0690449676497,"37",0,"Peripherals","","ultra peripheral"
0.801783725737273,"37",0,"Peripherals","","ultra peripheral"
0,"44",0,"Peripherals","","ultra peripheral"
0,"44",0,"Peripherals","","ultra peripheral"
0,"44",0,"Peripherals","","ultra peripheral"
0,"44",0,"Peripherals","","ultra peripheral"
0,"44",0,"Peripherals","","ultra peripheral"
