source,target,correlation,direct,cor
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9608;s__GGB9608_SGB15042,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.949568895512741,undirected,+
k__Bacteria;p__Firmicutes;c__CFGB1872;o__OFGB1872;f__FGB1872;g__GGB4964;s__GGB4964_SGB6927,k__Bacteria;p__Firmicutes;c__CFGB1249;o__OFGB1249;f__FGB1249;g__GGB3034;s__GGB3034_SGB4030,1,undirected,+
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillales_unclassified;g__Gemella;s__Gemella_SGB47116,k__Bacteria;p__Firmicutes;c__CFGB1249;o__OFGB1249;f__FGB1249;g__GGB3034;s__GGB3034_SGB4030,1,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_Family_XIII_Incertae_Sedis;g__Mogibacterium;s__Mogibacterium_diversum,k__Bacteria;p__Firmicutes;c__CFGB1249;o__OFGB1249;f__FGB1249;g__GGB3034;s__GGB3034_SGB4030,1,undirected,+
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Coprobacillaceae;g__Coprobacillus;s__Coprobacillus_sp_AF33_1AC,k__Bacteria;p__Firmicutes;c__CFGB1359;o__OFGB1359;f__FGB1359;g__GGB3321;s__GGB3321_SGB4396,0.999999999999997,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB3623;s__GGB3623_SGB4900,k__Bacteria;p__Firmicutes;c__CFGB1479;o__OFGB1479;f__FGB1479;g__GGB3751;s__GGB3751_SGB5099,0.810221696094146,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB3169;s__GGB3169_SGB4183,k__Bacteria;p__Firmicutes;c__CFGB1479;o__OFGB1479;f__FGB1479;g__GGB3751;s__GGB3751_SGB5099,0.999999999999999,undirected,+
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_SGB6486,k__Bacteria;p__Firmicutes;c__CFGB1479;o__OFGB1479;f__FGB1479;g__GGB3751;s__GGB3751_SGB5099,0.999999999999999,undirected,+
k__Bacteria;p__Bacteroidetes;c__CFGB642;o__OFGB642;f__FGB642;g__GGB1582;s__GGB1582_SGB2173,k__Bacteria;p__Firmicutes;c__CFGB1211;o__OFGB1211;f__FGB1211;g__GGB2970;s__GGB2970_SGB3952,1,undirected,+
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_oleiciplenus,k__Bacteria;p__Firmicutes;c__CFGB1211;o__OFGB1211;f__FGB1211;g__GGB2970;s__GGB2970_SGB3952,1,undirected,+
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__Carnobacterium_divergens,k__Bacteria;p__Firmicutes;c__CFGB1211;o__OFGB1211;f__FGB1211;g__GGB2970;s__GGB2970_SGB3952,1,undirected,+
