"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9608;s__GGB9608_SGB15042",24,0.457142857142857,47,24
"k__Bacteria;p__Firmicutes;c__CFGB1872;o__OFGB1872;f__FGB1872;g__GGB4964;s__GGB4964_SGB6927",3,1,0,3
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillales_unclassified;g__Gemella;s__Gemella_SGB47116",3,1,0,3
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_Family_XIII_Incertae_Sedis;g__Mogibacterium;s__Mogibacterium_diversum",3,1,0,3
"k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Coprobacillaceae;g__Coprobacillus;s__Coprobacillus_sp_AF33_1AC",1,1,0,1
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB3623;s__GGB3623_SGB4900",3,1,0,3
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB3169;s__GGB3169_SGB4183",3,1,0,3
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_SGB6486",3,1,0,3
"k__Bacteria;p__Bacteroidetes;c__CFGB642;o__OFGB642;f__FGB642;g__GGB1582;s__GGB1582_SGB2173",3,1,0,3
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_oleiciplenus",3,1,0,3
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__Carnobacterium_divergens",3,1,0,3
"k__Bacteria;p__Bacteroidetes;c__CFGB1458;o__OFGB1458;f__FGB1458;g__GGB1458;s__GGB1458_SGB2021",6,1,0.75,6
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__GGB3265;s__GGB3265_SGB4313",4,0.75,0,4
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Hafniaceae;g__Hafnia;s__Hafnia_paralvei",4,0.75,0,4
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Slackia;s__Slackia_piriformis",6,1,0.75,6
"k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas_SGB5909",6,1,0.75,6
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__GGB6529;s__GGB6529_SGB9222",4,0.75,0,4
"k__Bacteria;p__Firmicutes;c__CFGB3172;o__OFGB3172;f__FGB3172;g__GGB10692;s__GGB10692_SGB17347",5,1,0,5
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB3637;s__GGB3637_SGB4930",5,1,0,5
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB1554;s__GGB1554_SGB2141",5,1,0,5
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9611;s__GGB9611_SGB2124",5,1,0,5
"k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__GGB80093;s__GGB80093_SGB1810",5,1,0,5
"k__Bacteria;p__Firmicutes;c__CFGB1201;o__OFGB1201;f__FGB1201;g__GGB2958;s__GGB2958_SGB3940",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Firmicutes;c__CFGB1347;o__OFGB1347;f__FGB1347;g__GGB3289;s__GGB3289_SGB4343",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Firmicutes;c__CFGB2985;o__OFGB2985;f__FGB2985;g__GGB9350;s__GGB9350_SGB14317",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Firmicutes;c__CFGB2918;o__OFGB2918;f__FGB2918;g__GGB9240;s__GGB9240_SGB14182",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Tenericutes;c__CFGB4862;o__OFGB4862;f__FGB4862;g__GGB4750;s__GGB4750_SGB6579",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Firmicutes;c__CFGB2840;o__OFGB2840;f__FGB2840;g__GGB9095;s__GGB9095_SGB14026",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Firmicutes;c__CFGB10325;o__OFGB10325;f__FGB10325;g__GGB4669;s__GGB4669_SGB6458",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Firmicutes;c__CFGB31455;o__OFGB31455;f__FGB31455;g__GGB4699;s__GGB4699_SGB6503",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Firmicutes;c__CFGB10314;o__OFGB10314;f__FGB10314;g__GGB4703;s__GGB4703_SGB6510",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Firmicutes;c__CFGB72926;o__OFGB72926;f__FGB72926;g__GGB3614;s__GGB3614_SGB4886",24,0.475247524752475,0,24
"k__Bacteria;p__Firmicutes;c__CFGB31626;o__OFGB31626;f__FGB31626;g__GGB4676;s__GGB4676_SGB6465",28,0.585365853658537,79.6157575296485,28
"k__Bacteria;p__Firmicutes;c__CFGB10021;o__OFGB10021;f__FGB10021;g__GGB9256;s__GGB9256_SGB14202",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Firmicutes;c__CFGB73223;o__OFGB73223;f__FGB73223;g__GGB9249;s__GGB9249_SGB14193",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Firmicutes;c__CFGB76578;o__OFGB76578;f__FGB76578;g__GGB79648;s__GGB79648_SGB4350",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__GGB4658;s__GGB4658_SGB6445",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB3593;s__GGB3593_SGB4817",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB3343;s__GGB3343_SGB4423",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB9677;s__GGB9677_SGB15180",29,0.676056338028169,452.897352838244,29
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__GGB1247;s__GGB1247_SGB1668",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__GGB1148;s__GGB1148_SGB1475",23,0.448598130841121,0,23
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB34228;s__GGB34228_SGB53814",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__GGB4687;s__GGB4687_SGB6484",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio_crossotus",26,0.489795918367347,0.67181759438752,26
"k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__GGB79819;s__GGB79819_SGB4702",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ndongoniae",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Slackia;s__Slackia_equolifaciens",29,0.585365853658537,6.33863381057234,29
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__GGB9747;s__GGB9747_SGB15355",22,0.444444444444444,0,22
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Paraclostridium;s__Paraclostridium_bifermentans",22,0.444444444444444,0,22
"k__Bacteria;p__Firmicutes;c__CFGB2930;o__OFGB2930;f__FGB2930;g__GGB9253;s__GGB9253_SGB14199",2,1,0,2
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes_SGB4708",2,1,0,2
"k__Bacteria;p__Candidatus_Melainabacteria;c__CFGB2104;o__OFGB2104;f__FGB2104;g__GGB5988;s__GGB5988_SGB8609",9,1,0,9
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Thauera;s__Thauera_sp_27",9,1,0,9
"k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__GGB13147;s__GGB13147_SGB19694",9,1,0,9
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas;s__Luteimonas_granuli",9,1,0,9
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_stercoris",9,1,0,9
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas;s__Halomonas_sp_BC_M4_5",9,1,0,9
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_stutzeri",9,1,0,9
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_kunmingensis",9,1,0,9
"k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium_glutamicum",9,1,0,9
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__GGB6518;s__GGB6518_SGB9206",2,1,0,2
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Gemmiger;s__Gemmiger_SGB15292",2,1,0,2
"k__Bacteria;p__Firmicutes;c__CFGB76398;o__OFGB76398;f__FGB76398;g__GGB9289;s__GGB9289_SGB14244",14,1,0,14
"k__Bacteria;p__Firmicutes;c__CFGB76533;o__OFGB76533;f__FGB76533;g__GGB9109;s__GGB9109_SGB14042",14,1,0,14
"k__Bacteria;p__Firmicutes;c__CFGB76784;o__OFGB76784;f__FGB76784;g__GGB80012;s__GGB80012_SGB15001",14,1,0,14
"k__Bacteria;p__Bacteroidetes;c__CFGB42510;o__OFGB42510;f__FGB42510;g__GGB50204;s__GGB50204_SGB70276",14,1,0,14
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB9086;s__GGB9086_SGB14014",14,1,0,14
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Merdimonas;s__Merdimonas_faecis",14,1,0,14
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__GGB80095;s__GGB80095_SGB2145",14,1,0,14
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__GGB1562;s__GGB1562_SGB2149",14,1,0,14
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella_SGB2156",14,1,0,14
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Alcaligenes;s__Alcaligenes_SGB14037",14,1,0,14
"k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Longicatena;s__Longicatena_SGB42494",14,1,0,14
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia_SGB48227",14,1,0,14
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridiaceae_unclassified;s__Clostridiaceae_bacterium_NSJ_33",14,1,0,14
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__Candidatus_Protoclostridium;s__Candidatus_Protoclostridium_gallicola",14,1,0,14
"k__Bacteria;p__Firmicutes;c__CFGB1227;o__OFGB1227;f__FGB1227;g__GGB3005;s__GGB3005_SGB3996",7,1,0,7
