source,target,correlation,direct,cor
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB33469;s__GGB33469_SGB15236,k__Bacteria;p__Firmicutes;c__CFGB1226;o__OFGB1226;f__FGB1226;g__GGB2998;s__GGB2998_SGB3988,0.835911067033156,undirected,+
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_ihumii,k__Bacteria;p__Firmicutes;c__CFGB1226;o__OFGB1226;f__FGB1226;g__GGB2998;s__GGB2998_SGB3988,0.86473826963212,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__Anaerotruncus_rubiinfantis,k__Bacteria;p__Firmicutes;c__CFGB1226;o__OFGB1226;f__FGB1226;g__GGB2998;s__GGB2998_SGB3988,0.980460183451122,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Pseudoflavonifractor;s__Pseudoflavonifractor_sp_AF19_9AC,k__Bacteria;p__Firmicutes;c__CFGB1226;o__OFGB1226;f__FGB1226;g__GGB2998;s__GGB2998_SGB3988,0.847869659608966,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__Christensenellaceae_unclassified;s__Christensenellaceae_bacterium_NSJ_63,k__Bacteria;p__Firmicutes;c__CFGB1226;o__OFGB1226;f__FGB1226;g__GGB2998;s__GGB2998_SGB3988,0.850128388002411,undirected,+
k__Bacteria;p__Firmicutes;c__CFGB1262;o__OFGB1262;f__FGB1262;g__GGB3061;s__GGB3061_SGB4063,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.999999999999999,undirected,+
k__Bacteria;p__Bacteroidetes;c__CFGB635;o__OFGB635;f__FGB635;g__GGB1532;s__GGB1532_SGB2115,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.999999999999999,undirected,+
k__Bacteria;p__Firmicutes;c__CFGB1226;o__OFGB1226;f__FGB1226;g__GGB2998;s__GGB2998_SGB3989,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.999999999999999,undirected,+
k__Bacteria;p__Firmicutes;c__CFGB45503;o__OFGB45503;f__FGB45503;g__GGB9790;s__GGB9790_SGB15413,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.999999999999999,undirected,+
k__Bacteria;p__Firmicutes;c__CFGB76158;o__OFGB76158;f__FGB76158;g__GGB52002;s__GGB52002_SGB72669,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.999999999999999,undirected,+
k__Bacteria;p__Firmicutes;c__CFGB76112;o__OFGB76112;f__FGB76112;g__GGB79630;s__GGB79630_SGB13983,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.812832775544167,undirected,+
k__Bacteria;p__Bacteria_unclassified;c__CFGB2992;o__OFGB2992;f__FGB2992;g__GGB79890;s__GGB79890_SGB14770,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.999999999999999,undirected,+
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__GGB4579;s__GGB4579_SGB6329,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.999999999999999,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB1331;s__GGB1331_SGB1788,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.999999999999999,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9608;s__GGB9608_SGB15042,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.999999999999999,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9618;s__GGB9618_SGB15065,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.827113330478427,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9719;s__GGB9719_SGB53514,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.999999999999999,undirected,+
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__GGB1364;s__GGB1364_SGB1833,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.80388850227618,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus_SGB4669,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.999999999999999,undirected,+
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_SGB6340,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.999999999999999,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus_sp_OM04_5BH,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.999999999999999,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Gemmiger;s__Gemmiger_SGB15301,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.999999999999999,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB9527;s__GGB9527_SGB14927,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.999999999999999,undirected,+
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__GGB9759;s__GGB9759_SGB15370,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.999999999999999,undirected,+
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__GGB6123;s__GGB6123_SGB8768,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.999999999999999,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__Christensenellaceae_unclassified;s__Christensenellaceae_bacterium_NSJ_44,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.999999999999999,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_Family_XIII_Incertae_Sedis;g__Bacilliculturomica;s__Bacilliculturomica_massiliensis,k__Bacteria;p__Firmicutes;c__CFGB1311;o__OFGB1311;f__FGB1311;g__GGB3146;s__GGB3146_SGB4159,0.816051616423801,undirected,+
k__Bacteria;p__Firmicutes;c__CFGB3070;o__OFGB3070;f__FGB3070;g__GGB9775;s__GGB9775_SGB15395,k__Bacteria;p__Firmicutes;c__CFGB1425;o__OFGB1425;f__FGB1425;g__GGB3491;s__GGB3491_SGB4665,0.804046704015874,undirected,+
k__Bacteria;p__Tenericutes;c__CFGB1779;o__OFGB1779;f__FGB1779;g__GGB4717;s__GGB4717_SGB6533,k__Bacteria;p__Firmicutes;c__CFGB1425;o__OFGB1425;f__FGB1425;g__GGB3491;s__GGB3491_SGB4665,0.804046704015874,undirected,+
