ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,mean,Label
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB33469;s__GGB33469_SGB15236,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__GGB33469,s__GGB33469_SGB15236,0.84581119504236,k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB33469;s__GGB33469_SGB15236
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_ihumii,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes_ihumii,0.977292531274118,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_ihumii
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__Anaerotruncus_rubiinfantis,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Anaerotruncus,s__Anaerotruncus_rubiinfantis,0.642714611485345,k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__Anaerotruncus_rubiinfantis
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Pseudoflavonifractor;s__Pseudoflavonifractor_sp_AF19_9AC,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Oscillospiraceae,g__Pseudoflavonifractor,s__Pseudoflavonifractor_sp_AF19_9AC,0.538915697157281,k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Pseudoflavonifractor;s__Pseudoflavonifractor_sp_AF19_9AC
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__Christensenellaceae_unclassified;s__Christensenellaceae_bacterium_NSJ_63,k__Bacteria,p__Firmicutes,c__Clostridia,o__Eubacteriales,f__Christensenellaceae,g__Christensenellaceae_unclassified,s__Christensenellaceae_bacterium_NSJ_63,0.454798378928768,k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Christensenellaceae;g__Christensenellaceae_unclassified;s__Christensenellaceae_bacterium_NSJ_63
k__Bacteria;p__Firmicutes;c__CFGB1262;o__OFGB1262;f__FGB1262;g__GGB3061;s__GGB3061_SGB4063,k__Bacteria,p__Firmicutes,c__CFGB1262,o__OFGB1262,f__FGB1262,g__GGB3061,s__GGB3061_SGB4063,0.130368125826141,k__Bacteria;p__Firmicutes;c__CFGB1262;o__OFGB1262;f__FGB1262;g__GGB3061;s__GGB3061_SGB4063
k__Bacteria;p__Bacteroidetes;c__CFGB635;o__OFGB635;f__FGB635;g__GGB1532;s__GGB1532_SGB2115,k__Bacteria,p__Bacteroidetes,c__CFGB635,o__OFGB635,f__FGB635,g__GGB1532,s__GGB1532_SGB2115,0.0853273601558762,k__Bacteria;p__Bacteroidetes;c__CFGB635;o__OFGB635;f__FGB635;g__GGB1532;s__GGB1532_SGB2115
k__Bacteria;p__Firmicutes;c__CFGB1226;o__OFGB1226;f__FGB1226;g__GGB2998;s__GGB2998_SGB3989,k__Bacteria,p__Firmicutes,c__CFGB1226,o__OFGB1226,f__FGB1226,g__GGB2998,s__GGB2998_SGB3989,0.15156894774301,k__Bacteria;p__Firmicutes;c__CFGB1226;o__OFGB1226;f__FGB1226;g__GGB2998;s__GGB2998_SGB3989
k__Bacteria;p__Firmicutes;c__CFGB45503;o__OFGB45503;f__FGB45503;g__GGB9790;s__GGB9790_SGB15413,k__Bacteria,p__Firmicutes,c__CFGB45503,o__OFGB45503,f__FGB45503,g__GGB9790,s__GGB9790_SGB15413,0.138833426085685,k__Bacteria;p__Firmicutes;c__CFGB45503;o__OFGB45503;f__FGB45503;g__GGB9790;s__GGB9790_SGB15413
k__Bacteria;p__Firmicutes;c__CFGB76158;o__OFGB76158;f__FGB76158;g__GGB52002;s__GGB52002_SGB72669,k__Bacteria,p__Firmicutes,c__CFGB76158,o__OFGB76158,f__FGB76158,g__GGB52002,s__GGB52002_SGB72669,0.123657071353534,k__Bacteria;p__Firmicutes;c__CFGB76158;o__OFGB76158;f__FGB76158;g__GGB52002;s__GGB52002_SGB72669
